"effect","component","term","estimate","std.error","statistic","p.value","conf.low","conf.high","group","col"
"fixed","cond","cond.z_alt",-0.139297999494321,0.0388370589838005,-3.58672883939085,0.000334852210455167,-0.215417236368028,-0.0631787626206141,"S2N [4-12kHz]","#e65a49"
"fixed","cond","cond.z_distedge",0.0769741260955076,0.0390309473066726,1.97213061447649,0.0485946979231427,0.000474875091948643,0.153473377099066,"S2N [4-12kHz]","#55c0f0"
"fixed","cond","cond.z_NDVI",-0.0571409223188831,0.0174588130361087,-3.27289846112121,0.00106450711462525,-0.0913595670824745,-0.0229222775552917,"S2N [4-12kHz]","#e65a49"
"fixed","cond","cond.z_temperature",0.150726296055805,0.0162291198005368,9.28739807878059,1.58105974912208e-20,0.118917805745967,0.182534786365643,"S2N [4-12kHz]","#55c0f0"
"fixed","cond","cond.z_alt",-0.148239597243586,0.0623282915604212,-2.3783677288809,0.0173894744815178,-0.270400803919923,-0.0260783905672482,"AA [0.3-22.1kHz]","#e65a49"
"fixed","cond","cond.z_distwater",-0.252304316738582,0.0550410409013167,-4.58393069257064,4.56315543039951e-06,-0.360182774576758,-0.144425858900405,"AA [0.3-22.1kHz]","#e65a49"
"fixed","cond","cond.z_NDVI",-0.0507540424200652,0.0327250187956895,-1.55092477522887,0.120919712338415,-0.114893900653013,0.0133858158128826,"AA [0.3-22.1kHz]","#dbdfde"
"fixed","cond","cond.z_temperature",0.215565483870684,0.0278125382795066,7.75065841543567,9.14172941431005e-15,0.16105391052421,0.270077057217159,"AA [0.3-22.1kHz]","#55c0f0"
"fixed","cond","cond.z_treeheight",0.121802859866187,0.0648233723981501,1.87899603738702,0.0602450342932365,-0.00524861539061455,0.248854335122989,"AA [0.3-22.1kHz]","#dbdfde"
"fixed","cond","cond.z_alt",-0.310915928049258,0.0899846093074039,-3.45521229066087,0.000549859691059332,-0.487282521454678,-0.134549334643839,"AA [4-12kHz]","#e65a49"
"fixed","cond","cond.z_distedge",0.234975579868268,0.0928116719092202,2.53174600817556,0.0113496170710761,0.0530680455812486,0.416883114155287,"AA [4-12kHz]","#55c0f0"
"fixed","cond","cond.z_NDVI",-0.135161472018483,0.0539334283999108,-2.50607973623102,0.01220780864209,-0.240869049245078,-0.0294538947918884,"AA [4-12kHz]","#e65a49"
"fixed","cond","cond.z_precipitation",0.0390498289754826,0.0259321507709359,1.50584613364383,0.132106677232449,-0.0117762525772144,0.0898759105281796,"AA [4-12kHz]","#dbdfde"
"fixed","cond","cond.z_temperature",0.371921684887336,0.0391644079269264,9.49642046373517,2.17229228090883e-21,0.295160855874725,0.448682513899947,"AA [4-12kHz]","#55c0f0"
