"Local","time_period","Count","AA.Mean","AA.sd","BGN.Mean","BGN.sd","AEI.Mean","AEI.sd","H.Mean","H.sd"
"CN8","dusk",180,0.143266666666667,0.037887896978193,-15.8222222222222,1.15867172823241,0.109154961111111,0.063887742721414,0.892476755450835,0.0281516488395617
"CN8","night",890,0.0848449438202247,0.0494735456942662,-15.7808988764045,1.71812126999928,0.112214986516854,0.122244981733683,0.936039529662074,0.0260394938849562
"CN9","dawn",143,0.0425174825174825,0.0391211288229035,-15.5174825174825,2.1651957165322,0.083972027972028,0.119854996791954,0.96037164485449,0.0189232896837726
"CN9","day",701,0.0651569186875892,0.0560381596891716,-15.6576319543509,1.85850618548654,0.113597350927247,0.134815547984166,0.934651802892766,0.0318170137867857
"CN9","dusk",151,0.100582781456954,0.0386442505626031,-15.8344370860927,1.46255695536349,0.145270337748344,0.1175766660913,0.909714622259943,0.0363100186415455
"CN9","night",690,0.0745275362318841,0.0472553815338161,-16.395652173913,2.00253357540919,0.183415495652174,0.197796863924395,0.935237545471173,0.028366578684511
"CN10","dawn",183,0.0173770491803279,0.0163036070313852,-14.4535519125683,2.12953483964909,0.0412851584699454,0.0648545413843784,0.975206166993962,0.011331732145357
"CN10","day",924,0.0289837662337662,0.0331239629162621,-14.771645021645,2.23892896822895,0.0740695140692641,0.126384223215933,0.96461304847981,0.0277577532883372
"CN10","dusk",192,0.0541510416666667,0.0277915407476654,-14.3333333333333,1.77632284850732,0.070445453125,0.118435659934291,0.944899728219002,0.0215223487421205
"CN10","night",950,0.0386768421052632,0.0369172998607103,-14.3831578947368,1.78228329606574,0.0425238494736842,0.056654426161414,0.961713164934975,0.0196459288700549
"CN11","dawn",139,0.0326906474820144,0.0285791169630785,-15.863309352518,2.12371508927614,0.0753914316546763,0.102616096931193,0.959478284877774,0.0253984247446857
"CN11","day",739,0.0311326116373478,0.0278799936054711,-15.8308525033829,2.46048901294485,0.100135461434371,0.137118364794967,0.955838051195652,0.030391637133767
"CN11","dusk",141,0.054177304964539,0.0442966112357437,-14.1843971631206,2.14676779261765,0.061651829787234,0.0873306524861491,0.942753888698367,0.037744454216879
"CN11","night",694,0.0447766570605187,0.0384956357385537,-14.7867435158501,2.15370349181538,0.0503780172910663,0.0865200200339829,0.959088307477001,0.0232697082941914
"CN12","dawn",140,0.0615071428571429,0.0433099082203067,-15.7357142857143,2.51215953499989,0.0849701428571429,0.126773078338609,0.941764513896886,0.0327328196380173
"CN12","day",692,0.082271676300578,0.0578151018190204,-14.871387283237,2.49269655863716,0.0727030910404624,0.130245589292951,0.932023758153275,0.0442986046132093
"CN12","dusk",144,0.0705833333333333,0.0288750624374949,-15.6805555555556,1.75273124638857,0.077991375,0.102401740699863,0.916782931140667,0.0369609453923839
"CN12","night",712,0.0558272471910112,0.038933781126487,-15.6783707865169,2.30127064213921,0.087815856741573,0.131375237645868,0.932194401836389,0.0417585498586308
"CN13","dawn",167,0.0297904191616766,0.028387557162082,-14.7365269461078,1.60647632366195,0.0377473053892216,0.0473290054637672,0.961583523212873,0.0239631181304685
"CN13","day",896,0.0454185267857143,0.0464558185308268,-14.8125,1.86244867950741,0.0597863381696429,0.0937673164001363,0.949552454630391,0.038870855187806
"CN13","dusk",179,0.0919776536312849,0.0317054483155591,-16.145251396648,1.44218830232602,0.167178620111732,0.12495352903443,0.889433057554478,0.0386270840284003
"CN13","night",892,0.0721558295964126,0.0372802553736578,-15.7847533632287,1.63253696167826,0.131507084080717,0.139680816764776,0.921701480002373,0.0339242875745926
"CN14","dawn",175,0.0316342857142857,0.0478584235301526,-14.6742857142857,2.66354086094022,0.07769628,0.133069802994201,0.962452212704198,0.0414463276330298
"CN14","day",899,0.0326774193548387,0.0351767482998327,-14.4727474972191,2.51412099116577,0.0784119232480534,0.133190195675925,0.958199206068297,0.0434435720930528
"CN14","dusk",178,0.0711460674157303,0.0422657854873831,-15.0337078651685,2.01379108540186,0.0734785561797753,0.0945738380935223,0.934757794132178,0.0312906679210305
"CN14","night",878,0.0476628701594533,0.0396997598797801,-15.2881548974943,2.11043365901776,0.0756369487471526,0.127399606450396,0.953221353056103,0.0265647636968118
"CN14",NA,1,0.105,NA,-20,NA,0.482863,NA,0.737311751035556,NA
